jaar	Rijnmond	GrootRijnmond	ZuidHolland	Nederland
2000	0.0236	0.0246	0.0337	0.0213
2001	0.0036	0.0046	0.0236	0.0032
2002	0.0279	0.0274	0.0372	0.0275
2003	-0.0166	-0.0136	-0.0167	-0.0161
2004	-0.0123	-0.0153	-0.0128	-0.0172
2005	-0.0129	-0.0126	-0.0121	-0.0224
2006	0.0114	0.0114	0.0213	0.0115
2007	-0.0183	-0.0484	-0.0560	-0.0181
2008	-0.0103	-0.0163	-0.0104	-0.0373
2009	0.0407	0.0447	0.0304	0.0409
2010	0.0489	0.0469	0.0381	0.0584
2011	0.0251	0.0281	0.0354	0.0258
2012	0.0073	0.0023	0.0072	0.0076
